eval_dataset,codec,param,pipeline,bpp,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,time_ms
kodak,Cheng,q=1,actual_bitstream,0.11558024088541664,28.43112595876058,0.8612067227562269,0.9239217241605123,0.3435061840961377,0.1761793692906697,0.9239329000314077,0.09823404842366769,0.3942807465791702,0.7507163981596628,0.6929516593615214,0.3232706698278586,-0.6595013404634981,3398.88169633438
kodak,Cheng,q=3,actual_bitstream,0.2690327962239583,31.321256001790363,0.9317036693294843,0.9634686907132467,0.21116214680174983,0.10776442040999727,0.9681734840075175,0.04638806326935684,0.4918127233783404,0.8697435855865479,0.8842249090472857,0.26747452902297175,36.741266760755686,3403.363003375489
kodak,Cheng,q=5,actual_bitstream,0.595272488064236,34.9494431813558,0.969637448589007,0.9837844520807266,0.10625688390185432,0.05856943627198532,0.9878910084565481,0.018154440952154453,0.6116659020384153,0.9434901227553686,0.9624017030000687,0.2115430893997351,62.4997794279823,3390.7387867517778
kodak,DCAE,lam=0.0035,actual_bitstream,0.17617458767361108,30.737064758936565,0.9084429393212,0.9517366016904513,0.23315622285008428,0.12192923078934348,0.9538332571585973,0.06874828040599819,0.46539149309198063,0.8337211832404137,0.8156680117050806,0.2931299395859241,22.924819270895938,104.76137766878917
kodak,DCAE,lam=0.013,actual_bitstream,0.4277750651041667,34.40765873591105,0.9615693539381027,0.9797866369287173,0.11606429781143861,0.06527648121118541,0.9832267339030901,0.026120938748742103,0.5828549737731615,0.9273258174459139,0.9477072954177856,0.2306840997189283,56.08276671799852,105.92767762561077
kodak,ELIC,lam=0.008,actual_bitstream,0.07363552517361109,27.489848613739014,0.8181361059347788,0.8978504488865534,0.38333053328096867,0.20008297016223267,0.8906633158524832,0.13154196366667745,0.3621465563774109,0.6901249413688978,0.5724636651575565,0.3439830628534158,-19.525308651215067,135.4476123336402
kodak,ELIC,lam=0.032,actual_bitstream,0.19501071506076387,30.527337233225506,0.9078543310364088,0.95086736480395,0.2431540749967098,0.12636255224545792,0.953529104590416,0.06635607033967968,0.45710788294672966,0.828593966861566,0.8254852841297785,0.2918083605666955,22.59246558476832,138.27121841495682
kodak,ELIC,lam=0.150,actual_bitstream,0.49712456597222227,34.4894483089447,0.9633818591634432,0.9806495780746142,0.11585213383659716,0.06108519434928889,0.9843856518467268,0.023752229753881655,0.5872420941789945,0.9303863123059273,0.9538447509209315,0.22565221662322676,57.52495961422303,140.39584433218502
kodak,ELIC,lam=0.450,actual_bitstream,0.8648885091145834,37.52881876627604,0.9809964473048846,0.9899662087361017,0.06829343072604384,0.03491177906592682,0.9931076044837633,0.01040565443690862,0.6891690865159035,0.9671144485473633,0.9812447677055994,0.18443013106783226,72.82558936812735,143.05959708265922
kodak,HEVC,crf=45,end_to_end,0.160903082953559,26.92828408877055,0.8304047708710035,0.897947147488594,0.3434763737022877,0.1679021169741948,0.9168929432829221,0.09883282799273724,0.3196629720429579,0.687861792743206,0.7366519247492155,0.33465955158074695,-15.532662295335049,68.18469912506468
