dataset,codec,param,image,width,height,pixels,bpp,pipeline,time_ms,energy_total_j_x,energy_net_j,params_M,psnr,ssim,ms_ssim,lpips,dists,fsim,gmsd,vif,haarpsi,dss,mdsi,ssimulacra2,file_bytes,time_compress_ms,time_decompress_ms,energy_compress_j,energy_decompress_j,vram_enc_mb,vram_dec_mb,note,eval_dataset,energy_pipeline,energy_per_image_j,energy_cpu_per_image_j,energy_gpu_per_image_j,energy_total_j_y,total_time_s,energy_n_images,n_repeats
kodak,Ballé,q=3,kodim20.png,768.0,512.0,393216.0,0.201416015625,actual_bitstream,27.92242499708664,,,5.076,32.55351257324219,0.9473931789398192,0.973263382911682,0.1669665277004242,0.0779575705528259,0.975772261619568,0.037738136947155,0.5010546445846558,0.8965204358100891,0.9078366756439208,0.2461699843406677,44.55605325716572,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim21.png,768.0,512.0,393216.0,0.341552734375,actual_bitstream,27.79208299762104,,,5.076,30.4506950378418,0.9459475874900818,0.9692000150680542,0.2441751360893249,0.1091122031211853,0.9702980518341064,0.0433586053550243,0.471744179725647,0.8707088232040405,0.8795477151870728,0.25845468044281,41.12072544567945,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim22.png,768.0,512.0,393216.0,0.3019205729166667,actual_bitstream,27.388579008402303,,,5.076,30.38503837585449,0.893288791179657,0.9429932832717896,0.3070522546768188,0.1545671224594116,0.9564900398254396,0.0581030808389186,0.4286905527114868,0.8266581892967224,0.8614904880523682,0.2878139913082123,23.08516839878824,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim23.png,768.0,512.0,393216.0,0.15771484375,actual_bitstream,26.73210299690254,,,5.076,34.19624710083008,0.943630576133728,0.9691616892814636,0.1763134896755218,0.1033076047897338,0.9729947447776794,0.039487387984991,0.5820122361183167,0.8953127264976501,0.887056827545166,0.2529232501983642,37.245810473081264,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=3,kodim24.png,768.0,512.0,393216.0,0.4276529947916667,actual_bitstream,28.70203199563548,,,5.076,28.75040054321289,0.9313793182373048,0.9645256996154784,0.2107741385698318,0.1154979467391967,0.9696536660194396,0.0490825846791267,0.4700965583324432,0.8587274551391602,0.891648530960083,0.2725545167922973,35.878050353745834,,,,,,,,,kodak,actual_bitstream_energy,2.289936006084,0.538862076421,1.751073929664,274.79232073,3.272912823,24,5
kodak,Ballé,q=5,kodim01.png,768.0,512.0,393216.0,1.0983072916666667,actual_bitstream,30.32908799650613,,,5.076,32.71649169921875,0.9789541959762572,0.9880919456481934,0.0534289628267288,0.0317391157150268,0.9891530275344848,0.0176310092210769,0.5871738791465759,0.9412393569946288,0.9777010083198548,0.2075961232185363,65.30025746507133,,,,,,,,,kodak,actual_bitstream_energy,2.319752763689,0.561411552643,1.758341211046,278.370331643,3.44470749,24,5
kodak,Ballé,q=5,kodim02.png,768.0,512.0,393216.0,0.5040690104166666,actual_bitstream,29.38943900517188,,,5.076,34.73442459106445,0.9402989149093628,0.9685222506523132,0.1731390058994293,0.0727832317352294,0.9847980737686156,0.01976846344769,0.5133516788482666,0.9307188391685486,0.9595481157302856,0.2220867276191711,55.318078163710815,,,,,,,,,kodak,actual_bitstream_energy,2.319752763689,0.561411552643,1.758341211046,278.370331643,3.44470749,24,5
kodak,Ballé,q=5,kodim03.png,768.0,512.0,393216.0,0.371826171875,actual_bitstream,28.574081006809138,,,5.076,37.11173248291016,0.9700212478637696,0.9845259189605712,0.1205811575055122,0.0656165480613708,0.985245645046234,0.0183227006345987,0.6489635705947876,0.9448997378349304,0.9534729719161988,0.2145611345767974,62.23685607927638,,,,,,,,,kodak,actual_bitstream_energy,2.319752763689,0.561411552643,1.758341211046,278.370331643,3.44470749,24,5
kodak,Ballé,q=5,kodim04.png,512.0,768.0,393216.0,0.5009765625,actual_bitstream,29.46281900221948,,,5.076,35.14133071899414,0.9580724239349364,0.9782049655914308,0.1628045886754989,0.0607288479804992,0.9865667819976808,0.0179520435631275,0.5978759527206421,0.944835364818573,0.9599273800849916,0.2142171561717987,60.492187890638846,,,,,,,,,kodak,actual_bitstream_energy,2.319752763689,0.561411552643,1.758341211046,278.370331643,3.44470749,24,5
kodak,Ballé,q=5,kodim05.png,768.0,512.0,393216.0,1.0784505208333333,actual_bitstream,30.14591499231756,,,5.076,32.94291687011719,0.9805210828781128,0.9899396300315856,0.0312336329370737,0.014289379119873,0.9909654259681702,0.0168735682964324,0.6405894756317139,0.9418798089027404,0.9779613018035888,0.2062339335680008,66.02474866548164,,,,,,,,,kodak,actual_bitstream_energy,2.319752763689,0.561411552643,1.758341211046,278.370331643,3.44470749,24,5
