file,dataset,codec,param,kbps,pesq,mel_dist,audio_dist,enc_ms,status
1-36164-A-26.wav,esc50,Opus,24.0,20.96,4.2695,2.8016,0.2305,35.5,OK
1-36164-B-26.wav,esc50,Opus,24.0,23.71,4.1419,2.7711,0.3581,36.25,OK
1-36393-A-23.wav,esc50,Opus,48.0,13.09,4.4315,0.9498,0.0685,15.91,OK
1-36397-A-23.wav,esc50,Opus,24.0,14.84,3.7732,2.5643,0.7268,32.37,OK
1-36400-A-23.wav,esc50,Opus,48.0,12.3,4.5011,1.0918,-0.0011,15.06,OK
1-36402-A-23.wav,esc50,Opus,24.0,13.09,4.174,1.1869,0.326,28.8,OK
1-36929-A-47.wav,esc50,Opus,12.0,12.68,3.2196,3.2963,1.2804,33.15,OK
1-37226-A-29.wav,esc50,Opus,24.0,16.71,4.3904,2.8181,0.1096,33.66,OK
1-38559-A-14.wav,esc50,Opus,24.0,22.49,4.3696,4.3923,0.1304,38.63,OK
1-38560-A-14.wav,esc50,Opus,24.0,21.05,4.2691,4.3087,0.2309,36.05,OK
1-39835-A-9.wav,esc50,Opus,24.0,22.27,4.3928,2.3823,0.1072,24.11,OK
1-39835-B-9.wav,esc50,Opus,24.0,22.94,4.3751,2.5372,0.1249,26.06,OK
1-39901-A-11.wav,esc50,Opus,24.0,22.49,3.7788,3.6146,0.7212,36.15,OK
1-39901-B-11.wav,esc50,Opus,24.0,22.15,3.7676,3.5765,0.7324,36.16,OK
1-39923-A-1.wav,esc50,Opus,24.0,20.31,3.9956,2.1563,0.5044,25.94,OK
1-39937-A-28.wav,esc50,Opus,24.0,21.9,3.2818,3.3286,1.2182,35.75,OK
1-40154-A-46.wav,esc50,DAC,8.0,8.0,4.4777,2.5735,0.0223,16.81,OK
1-40621-A-28.wav,esc50,Opus,24.0,22.04,3.7939,3.1358,0.7061,37.45,OK
1-40730-A-1.wav,esc50,Opus,24.0,22.56,4.2782,1.3939,0.2218,24.09,OK
1-40967-A-28.wav,esc50,Opus,24.0,21.4,4.1775,3.1925,0.3225,36.4,OK
1-41615-A-34.wav,esc50,Opus,48.0,22.5,4.5433,1.355,-0.0433,20.08,OK
1-4211-A-12.wav,esc50,Opus,24.0,22.34,3.9125,3.186,0.5875,36.32,OK
1-42139-A-38.wav,esc50,Opus,12.0,11.67,1.0,3.1144,3.5,33.38,OK
1-43382-A-1.wav,esc50,Opus,24.0,23.51,3.2308,3.9955,1.2692,17.15,OK
1-43760-A-11.wav,esc50,Opus,24.0,22.66,3.9732,4.8596,0.5268,36.82,OK
1-43764-A-34.wav,esc50,Opus,12.0,6.32,1.0,2.0691,3.5,29.64,OK
1-43807-A-47.wav,esc50,Opus,12.0,12.24,3.4105,3.1362,1.0895,32.79,OK
1-43807-B-47.wav,esc50,Opus,24.0,23.59,4.2638,2.403,0.2362,35.87,OK
1-43807-C-47.wav,esc50,Opus,24.0,23.35,4.2863,2.46,0.2137,36.02,OK
1-43807-D-47.wav,esc50,Opus,12.0,12.6,3.73,3.0561,0.77,32.81,OK
1-44831-A-1.wav,esc50,Opus,48.0,21.91,4.4658,1.0422,0.0342,15.34,OK
1-45641-A-27.wav,esc50,Opus,24.0,23.51,4.2842,2.1486,0.2158,21.23,OK
1-45645-A-31.wav,esc50,Opus,12.0,9.96,1.0,3.413,3.5,41.54,OK
1-46040-A-14.wav,esc50,Opus,24.0,22.58,4.0121,3.1004,0.4879,36.9,OK
1-46272-A-12.wav,esc50,Opus,24.0,22.37,3.7663,3.461,0.7337,35.06,OK
1-46274-A-18.wav,esc50,Opus,24.0,22.63,3.7839,2.3962,0.7161,21.29,OK
1-46353-A-49.wav,esc50,Opus,24.0,22.75,4.0761,3.0053,0.4239,38.41,OK
1-46744-A-36.wav,esc50,DAC,8.0,8.0,4.4061,1.6856,0.0939,16.67,OK
1-46938-A-7.wav,esc50,Opus,24.0,21.51,3.7385,2.6065,0.7615,29.12,OK
1-46938-B-7.wav,esc50,Opus,24.0,22.26,3.7209,2.9781,0.7791,31.37,OK
1-47250-A-41.wav,esc50,Opus,12.0,11.96,1.0,3.7237,3.5,33.49,OK
1-47250-B-41.wav,esc50,Opus,24.0,23.62,4.1624,2.2758,0.3376,20.34,OK
1-47273-A-21.wav,esc50,Opus,24.0,12.4,4.064,2.2726,0.436,21.98,OK
1-47274-A-21.wav,esc50,Opus,24.0,16.18,4.2761,1.8177,0.2239,33.24,OK
1-47709-A-16.wav,esc50,Opus,24.0,22.97,4.3013,3.0545,0.1987,35.77,OK
1-47714-A-16.wav,esc50,Opus,24.0,23.08,3.8034,2.9497,0.6966,36.03,OK
1-47819-A-5.wav,esc50,Opus,24.0,20.36,4.0259,2.5238,0.4741,20.9,OK
1-47819-B-5.wav,esc50,Opus,24.0,21.87,3.7489,3.593,0.7511,36.0,OK
1-47819-C-5.wav,esc50,Opus,24.0,21.01,3.7388,3.42,0.7612,36.05,OK
1-47923-A-28.wav,esc50,Opus,24.0,23.66,4.1106,2.5281,0.3894,28.15,OK
1-48298-A-46.wav,esc50,DAC,8.0,8.0,4.5363,1.5043,-0.0363,17.04,OK
1-48413-A-38.wav,esc50,Opus,24.0,22.18,3.9211,2.5419,0.5789,23.35,OK
1-49098-A-35.wav,esc50,Opus,24.0,18.35,4.0282,2.5634,0.4718,34.34,OK
1-49409-A-8.wav,esc50,DAC,8.0,8.0,4.5412,1.9096,-0.0412,16.51,OK
1-49409-B-8.wav,esc50,DAC,8.0,8.0,4.5001,1.7693,-0.0001,16.67,OK
1-50060-A-10.wav,esc50,Opus,24.0,21.34,3.5687,3.6187,0.9313,35.65,OK
