codec,seq,profile,preset,param,phase,n_frames,time_s,energy_cpu_j,energy_gpu_j,energy_total_j,idle_cpu_w,idle_gpu_w,actual_mbps,bitstream_path
svtav1,Beauty,LDP,p2,crf=51,decode,600,0.308,15.473,0.0,15.473,20.25,37.21,1.694,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p2_crf51.ivf
svtav1,Beauty,LDP,p10,crf=27,encode,600,6.107,221.846,0.0,221.846,20.16,37.12,70.671,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf27.ivf
svtav1,Beauty,LDP,p10,crf=27,decode,600,2.14,68.579,0.0,68.579,20.27,37.48,70.671,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf27.ivf
svtav1,Beauty,LDP,p10,crf=35,encode,600,3.413,145.084,0.0,145.084,20.32,37.54,16.121,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf35.ivf
svtav1,Beauty,LDP,p10,crf=35,decode,600,0.621,24.169,0.0,24.169,20.24,37.52,16.121,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf35.ivf
svtav1,Beauty,LDP,p10,crf=43,encode,600,2.484,106.325,0.0,106.325,20.56,39.13,4.735,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf43.ivf
svtav1,Beauty,LDP,p10,crf=43,decode,600,0.308,11.142,0.0,11.142,20.42,37.43,4.735,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf43.ivf
svtav1,Beauty,LDP,p10,crf=51,encode,600,2.48,109.982,0.0,109.982,20.32,37.92,2.295,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf51.ivf
svtav1,Beauty,LDP,p10,crf=51,decode,600,0.297,9.313,0.0,9.313,20.19,37.76,2.295,/home/user/tesi/bitstreams_video/svtav1_Beauty_LDP_p10_crf51.ivf
svtav1,Beauty,RA,p2,crf=27,encode,600,39.22,4132.625,0.0,4132.625,20.16,37.57,8.295,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf27.ivf
svtav1,Beauty,RA,p2,crf=27,decode,600,0.444,24.32,0.0,24.32,20.23,37.49,8.295,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf27.ivf
svtav1,Beauty,RA,p2,crf=35,encode,600,31.405,3219.395,0.0,3219.395,20.37,37.76,4.595,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf35.ivf
svtav1,Beauty,RA,p2,crf=35,decode,600,0.355,19.157,0.0,19.157,20.27,37.49,4.595,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf35.ivf
svtav1,Beauty,RA,p2,crf=43,encode,600,28.407,2848.578,0.0,2848.578,20.41,37.52,2.607,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf43.ivf
svtav1,Beauty,RA,p2,crf=43,decode,600,0.325,16.545,0.0,16.545,20.29,36.91,2.607,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf43.ivf
svtav1,Beauty,RA,p2,crf=51,encode,600,29.251,2906.238,0.0,2906.238,20.25,37.08,1.546,/home/user/tesi/bitstreams_video/svtav1_Beauty_RA_p2_crf51.ivf
