codec_a,codec_b,seq,bd_rate,bd_rate_valid,bd_rate_e,bd_rate_e_valid,bd_rate_e_bins,bd_volume,bd_volume_valid,overlap_d,overlap_e_dec,pareto_hv,pareto_hv_valid,epsilon,epsilon_valid
dcvc_dc,dcvc_rt,Jockey,0.7260175696903071,True,,False,0,,False,0,0,0.9923426163585594,True,0.04704233989147544,True
dcvc_dc,dcvc_rt_cuda,Jockey,0.9188854303843641,True,,False,0,,False,0,0,0.9933127397062067,True,0.047189087281426456,True
dcvc_dc,svtav1,Jockey,22.23072742234784,True,,False,0,,False,0,0,0.995832936129589,True,0.016159371991409155,True
dcvc_dc,vvenc,Jockey,-42.118188088149154,True,,False,0,,False,0,0,0.9955497462740897,True,-0.04673035621713695,True
dcvc_dc,x264,Jockey,133.47154538511168,True,,False,0,,False,0,0,0.9957135555544759,True,0.20821709915017028,True
dcvc_dc,x265,Jockey,17.104691233557247,True,,False,0,,False,0,0,0.9968089754993621,True,0.09560422825749482,True
dcvc_fm,dcvc_dc,Jockey,-19.172199959660617,True,,False,0,,False,0,0,-0.5669884954032615,True,0.524207417019642,True
dcvc_fm,dcvc_rt,Jockey,-14.669125099138626,True,,False,0,,False,0,0,0.9823159810763646,True,0.022625087590689263,True
dcvc_fm,dcvc_rt_cuda,Jockey,-14.37582560769306,True,,False,0,,False,0,0,0.9845563911748232,True,0.02274061567458452,True
dcvc_fm,svtav1,Jockey,2.7974729637845197,True,,False,0,,False,0,0,0.9903765516015752,True,0.5099158574111502,True
dcvc_fm,vvenc,Jockey,-47.9544515377886,True,,False,0,,False,0,0,0.9897225508360226,True,0.07757821752142512,True
dcvc_fm,x264,Jockey,137.23870565572932,True,,False,0,,False,0,0,0.9901008532105491,True,0.5282667615538277,True
dcvc_fm,x265,Jockey,8.626913697029725,True,,False,0,,False,0,0,0.9926306242056786,True,0.33420262492495284,True
dcvc_rt,dcvc_dc,Jockey,-0.7207845472377405,True,,False,0,,False,0,0,-0.9923426163585594,True,0.5037796724649808,True
dcvc_rt,dcvc_fm,Jockey,17.190876240494912,True,,False,0,,False,0,0,-0.9823159810763646,True,0.3241113766628875,True
dcvc_rt,dcvc_rt_cuda,Jockey,0.319255500984017,True,,False,0,,False,0,0,0.12669122941641153,True,0.0020906919924796527,True
dcvc_rt,svtav1,Jockey,13.826350461784486,True,,False,0,,False,0,0,0.45581100993039797,True,0.48948811285648897,True
dcvc_rt,vvenc,Jockey,-39.57451918523178,True,,False,0,,False,0,0,0.4188284230887558,True,0.05715047296676386,True
dcvc_rt,x264,Jockey,177.82785447810866,True,,False,0,,False,0,0,0.44022075342724204,True,0.5078390169991664,True
dcvc_rt,x265,Jockey,26.75395917075063,True,,False,0,,False,0,0,0.5832748298820327,True,0.3137748803702916,True
dcvc_rt_cuda,dcvc_dc,Jockey,-0.9105188057375257,True,,False,0,,False,0,0,-0.9933127397062067,True,0.5016889804725011,True
dcvc_rt_cuda,dcvc_fm,Jockey,16.789447267341686,True,,False,0,,False,0,0,-0.9845563911748232,True,0.37099648088331083,True
dcvc_rt_cuda,dcvc_rt,Jockey,-0.31823950386162814,True,,False,0,,False,0,0,-0.12669122941641153,True,0.052184888779644334,True
dcvc_rt_cuda,svtav1,Jockey,13.691863615365495,True,,False,0,,False,0,0,0.37686530995681194,True,0.4873974208640093,True
dcvc_rt_cuda,vvenc,Jockey,-39.75615737277632,True,,False,0,,False,0,0,0.33451764543384077,True,0.05783073696343222,True
dcvc_rt_cuda,x264,Jockey,176.94665168122543,True,,False,0,,False,0,0,0.3590133691217992,True,0.5057483250066868,True
dcvc_rt_cuda,x265,Jockey,26.390896634143157,True,,False,0,,False,0,0,0.5228203538600777,True,0.3116841883778119,True
svtav1,dcvc_dc,Jockey,-18.187511349362495,True,,False,0,,False,0,0,-0.995832936129589,True,0.7348223807895686,True
svtav1,dcvc_fm,Jockey,-2.7213440983807735,True,,False,0,,False,0,0,-0.9903765516015752,True,0.7318901971024951,True
svtav1,dcvc_rt,Jockey,-12.146880230888613,True,,False,0,,False,0,0,-0.45581100993039797,True,0.4077788204396077,True
svtav1,dcvc_rt_cuda,Jockey,-12.042958202960651,True,,False,0,,False,0,0,-0.37686530995681194,True,0.36089371621918437,True
